coach_id,coach_name,coaching_player_id
1,Ivan-Ljubicic,f324
2,Daniel-Vallverdu,d875
3,Ricardo-Acioly,sg64
4,Yves-Allegro ,
5,Leonardo-Alonso,
6,Jose-Altur,g676
7," William ""Pato""-Alvarez ",
8,Braen-Aneiros,se73
9,Paul-Annacone,w367
10,Roberto-Antonini,
11,Jan-Apell,
12,Carsten-Arriens,
13,Thierry-Ascione,t786
14,Jean-Francois-Bachelot,
15,Aubrey-Barrett,
16,Jeremy-Bates,
17,Boris-Becker,
18,Tarik-Benhabiles ,
19,Galo-Blanco,
20,Fabian-Blengino,e698
21,Nick-Bollettieri,
22,Boris-Borgula,kc04
23,Dante-Bottini,n552
24,Craig-Boynton,q927
25,Oscar-Burrieza,
26,Darren-Cahill,
27,Leonardo-Caperchi,
28,Nick-Carr,
29,Alberto-Castellani,
30,Louis-Cayer,
31,Michael-Chang,n552
32,Jose-Checa Calvo,kb54
33,Ivan-Cinkus,c977
34,"Francisco ""Pato""-Clavet",
35,"José Manuel ""Pepo""-Clavet",l397
36,Jeff-Coetzee,c834
37,Albert-Costa,
38,Hakan-Dahlbo,v564
39,Hugo Streit-Daibert,s938
40,Scott-Davidoff,b757
41,James-Davidson,
42,Franco-Davin,f510
43,Robert-Davis,
44,John-Laffnie-De Jager,
45,Jan-De Witt,
46,Jamie-Delgado,mc10
47,Ramon-Delgado,
48,Yannis-Demeroutis,d632
49,Diego-Dinomo,
50,Mladen-Dodig,d646
51,Joshua-Eagle,
52,Juan Manuel-Esparcia,
53,Cesar-Fabregas,cd85
54,Philip-Farmer,
55,John B.-Farrington,
56,Stephan-Fehske,
57,Frederic-Fontang,
58,Jean-Luc-Fontanot,
59,Othmane-Garma,h788
60,Neville-Godwin,ch27
61,Carlos-Gomez Ferre,l480
62,Pablo-Gonzalez,
63,Fabio-Gorietti,f586
64,Marcos-Gorriz,
65,Brian-Gottfried,
66,Walter-Grinovero,
67,Sven-Groeneveld,
68,Christian-Groh,h355
69,Sebastien-Grosjean,ke17
70,Billy-Heiser,r548
71,Jacques-Hervet,
72,Mark-Hilton,e687
73,Dirk-Hordorff,t742
74,Goran-Ivanisevic,
75,Diego-Junqueira,
76,Craig-Kardon,
77,Carlos-Kirmayr,
78,Robbie-Koenig,
79,Petr-Korda,
