player_id,first_name,last_name,flag_code,birth_year,birth_month,birth_day,turned_pro,weight_kg,height_cm,handedness,backhand
a002,Ricardo,Acuna,CHI,1958,1,13,0,68,175,,
a001,Sadiq,Abdullahi,NGR,1960,2,2,0,0,0,,
a005,Nelson,Aerts,BRA,1963,4,25,0,75,188,,
a004,Egan,Adams,USA,1959,6,15,0,73,178,,
a006,Ronald,Agenor,USA,1964,11,13,1983,82,180,,
a007,Juan,Aguilera,ESP,1962,3,22,0,68,183,,
a012,Marc,Albert,NED,,,,0,0,0,,
a013,Marco,Alciati,ITA,,,,0,0,0,,
a009,Richard,Akel,USA,1962,2,12,0,0,0,,
a014,John,Alexander,AUS,1951,7,4,0,82,191,,
a015,Leighton,Alfred,GBR,1962,8,27,0,73,180,,
a017,Trevor,Allan,AUS,1955,8,17,0,77,178,,
a020,Mehl,Ampon,USA,1956,11,30,0,0,0,,
a018,Christer,Allgardh,SWE,1967,2,20,1983,77,191,,
a021,Anand,Amritraj,IND,1952,3,20,0,77,185,,
a022,Vijay,Amritraj,IND,1953,12,14,0,86,193,,
a024,Juan Carlos,Andrade,ESP,1957,2,22,0,0,0,,
a023,Andy,Andrews,USA,1959,1,1,0,82,185,,
a025,Matt,Anger,USA,1963,6,20,1984,77,188,,
a027,Paul,Annacone,USA,1963,3,20,1984,79,185,,
a028,Alex,Antonitsch,AUT,1966,2,8,1988,85,188,,
a029,Corrado,Aprili,ITA,1964,11,13,0,80,191,,
a030,Roberto,Arguello,ARG,1963,5,12,0,66,173,,
a031,Jimmy,Arias,USA,1964,8,16,1980,70,175,,
a032,Marco,Armellini,ITA,1960,8,17,0,85,188,,
a034,Jordi,Arrese,ESP,1964,8,29,1982,64,175,,
a035,Pablo,Arraya,PER,1961,10,21,1980,73,180,,
a036,Edoardo,Artaldi,ITA,,,,0,0,0,,
a039,Juan,Avendano,ESP,1961,1,29,0,73,178,,
a040,Roberto,Azar,ARG,1966,3,21,1984,77,185,,
a042,Ricardo,Acioly,BRA,1964,2,4,1986,82,180,,
a043,Aniceto,Alvarez,ESP,,,,0,0,0,,
a044,Victor,Amaya,USA,1954,7,2,0,0,201,,
a051,Juan Carlos,Ayala,CHI,1961,6,18,,,,,
a052,M.,Arenzon,BRA,,,,0,0,0,,
a053,John,Austin,USA,1957,7,31,0,88,193,,
a056,Terry,Addison,AUS,1946,1,11,0,77,180,,
a057,Elio Lito,Alvarez,ARG,1947,12,5,0,0,0,,
a058,George,Amaya,USA,1950,2,12,1975,73,173,,
a059,Ashok,Amritraj,IND,1957,2,22,0,0,0,,
a060,Mal,Anderson,AUS,1935,3,3,0,0,0,,
a061,Jorge,Andrew,VEN,1951,11,2,,88,180,Right-Handed,One-Handed Backhand
a063,Arthur,Ashe,USA,1943,7,10,1969,73,185,Right-Handed,One-Handed Backhand
a062,John,Andrews,USA,1952,2,5,0,0,0,,
a064,Guillermo,Aubone,ARG,1954,6,8,0,0,0,,
a065,Jeff,Austin,USA,1951,7,5,0,0,0,,
a066,Pieter,Aldrich,RSA,1965,9,7,1987,80,180,,
a068,Tim,Anderson,USA,,,,0,0,0,,
a080,Orlando,Agudelo,COL,,,,0,0,0,,
a073,Luis,Ayala,CHI,1932,9,18,,,,,
